Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,Unknown,High School,Retail,Bangalore,Unknown,28,33200,2024-07-01
Unemployed,45-54,PhD,Education,Suburban,High,13,33200,2024-08-01
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,Unknown,116000,2024-09-01
Unemployed,45-54,Master’s,Education,Rural,Medium,2,29300,2024-10-01
Unemployed,18-24,High School,unknown,Bangalore,High,Unknown,24700,2024-11-01
Employed,55+,PhD,Retail,Mumbai,Low,Unknown,36200,2024-12-01
Unemployed,25-34,Master’s,Education,Delhi,Medium,10,17800,
Unemployed,18-24,Master’s,Healthcare,Urban,Medium,11,52900,
Unemployed,35-44,Master’s,Retail,Unknown,Low,Unknown,141000,
Unemployed,45-54,High School,Retail,Rural,High,Unknown,90300,
Employed,25-34,Unknown,Finance,Urban,Unknown,30,139000,
Employed,35-44,Bachelor's,Technology,Bangalore,High,Unknown,63200,
Unemployed,Unknown,PhD,Technology,Urban,Medium,Unknown,94400,
Unemployed,35-44,PhD,Technology,Delhi,Low,0,34800,
Unknown,25-34,Master’s,Finance,Rural,High,Unknown,61200,
Employed,35-44,Unknown,Healthcare,Rural,High,29,138400,
Employed,18-24,High School,Technology,Urban,Medium,Unknown,97300,
Unemployed,18-24,High School,Healthcare,Mumbai,Medium,29,64300,
Employed,25-34,Bachelor's,unknown,Bangalore,Medium,Unknown,59100,
Unemployed,Unknown,Master’s,Retail,Suburban,Unknown,19,92700,
Unemployed,25-34,Master’s,Retail,Urban,Medium,24,64900,
Unemployed,18-24,Master’s,Technology,Delhi,High,Unknown,45800,
Unknown,25-34,Master’s,Retail,Urban,High,26,120000,
Employed,35-44,Unknown,Technology,Mumbai,High,11,134400,
Unemployed,25-34,Bachelor's,Education,Bangalore,Low,1,106500,
Unemployed,55+,Master’s,unknown,Bangalore,Unknown,Unknown,140000,2024-01-02
Employed,18-24,Master’s,Retail,Urban,Low,16,33200,2024-02-02
Unknown,18-24,Master’s,Education,Delhi,Medium,Unknown,33200,2024-03-02
Employed,45-54,Bachelor's,Education,Hyderabad,Low,Unknown,86300,2024-04-02
Unemployed,35-44,PhD,Retail,Suburban,Medium,Unknown,39500,2024-05-02
Unemployed,25-34,Unknown,Retail,Delhi,Medium,Unknown,71000,2024-06-02
Unemployed,18-24,Unknown,Healthcare,Unknown,Low,29,33200,2024-07-02
Employed,Unknown,Master’s,Healthcare,Delhi,Medium,Unknown,131000,2024-08-02
Employed,18-24,PhD,Education,Mumbai,High,Unknown,42600,2024-09-02
Unknown,18-24,Bachelor's,Technology,Mumbai,High,10,86700,2024-10-02
Unemployed,18-24,Bachelor's,Education,Urban,High,Unknown,33200,2024-11-02
Employed,25-34,Master’s,unknown,Rural,Medium,Unknown,21500,2024-12-02
Unemployed,Unknown,Diploma,unknown,Rural,Low,15,100400,
Employed,45-54,Master’s,Technology,Mumbai,High,Unknown,33200,
Employed,45-54,PhD,Retail,Rural,Unknown,15,111300,
Employed,45-54,High School,Fintech,Rural,High,Unknown,33200,
Employed,Unknown,Master’s,Finance,Urban,High,23,100900,
Employed,25-34,Unknown,Education,Delhi,Unknown,Unknown,36600,
Unemployed,18-24,PhD,Retail,Suburban,High,5,46300,
Employed,25-34,PhD,Technology,Suburban,Medium,19,33200,
Unemployed,25-34,PhD,Technology,Urban,Medium,Unknown,33200,
Employed,Unknown,Master’s,Technology,Rural,Low,Unknown,115600,
Unemployed,45-54,PhD,Retail,Unknown,Low,Unknown,33200,
Unemployed,Unknown,High School,Healthcare,Suburban,Medium,30,8600,
Unknown,35-44,High School,Education,Bangalore,High,Unknown,117600,
Employed,35-44,High School,Finance,Bangalore,Low,Unknown,12400,
Employed,45-54,Bachelor's,Education,Hyderabad,High,5,119200,
Unemployed,18-24,Master’s,Technology,Hyderabad,High,Unknown,109300,
Employed,45-54,Master’s,Retail,Hyderabad,Medium,Unknown,84700,
Employed,18-24,Bachelor's,Fintech,Urban,Low,Unknown,9100,2024-01-03
Employed,Unknown,Bachelor's,Education,Urban,Unknown,9,88800,2024-02-03
Unemployed,25-34,Bachelor's,Technology,Hyderabad,Medium,2,16000,2024-03-03
Employed,25-34,High School,Retail,Unknown,Low,Unknown,58000,2024-04-03
Unemployed,18-24,Master’s,Education,Suburban,Low,6,18300,2024-05-03
Unemployed,55+,Bachelor's,Technology,Rural,Medium,Unknown,33200,2024-06-03
Unemployed,18-24,Bachelor's,Healthcare,Suburban,High,Unknown,33200,2024-07-03
Employed,18-24,High School,Fintech,Unknown,High,Unknown,33200,2024-08-03
Unemployed,18-24,High School,Education,Hyderabad,Low,20,14700,2024-09-03
Employed,18-24,High School,Retail,Bangalore,Low,21,33200,2024-10-03
Employed,18-24,High School,Healthcare,Urban,Medium,Unknown,117800,2024-11-03
Unemployed,55+,Master’s,Fintech,Bangalore,Medium,Unknown,50800,2024-12-03
Unemployed,55+,Diploma,Healthcare,Delhi,High,4,73300,
Employed,25-34,Master’s,Healthcare,Bangalore,Low,Unknown,17700,
Unemployed,25-34,Master’s,Fintech,Urban,Medium,3,33200,
Employed,45-54,Bachelor's,Retail,Hyderabad,High,23,120500,
Employed,25-34,PhD,Fintech,Urban,Low,Unknown,15000,
Employed,Unknown,Master’s,Technology,Mumbai,Low,14,21300,
Unemployed,45-54,Bachelor's,unknown,Delhi,Low,Unknown,116000,
Employed,18-24,Master’s,Technology,Suburban,Low,16,33200,
Unemployed,18-24,Unknown,Finance,Rural,High,7,121300,
Employed,Unknown,Diploma,Retail,Delhi,Medium,3,103300,
Employed,25-34,PhD,Technology,Urban,High,29,90500,
Unknown,45-54,High School,Healthcare,Mumbai,Unknown,4,131700,
Unknown,25-34,High School,unknown,Bangalore,Medium,Unknown,20600,
Employed,25-34,Bachelor's,Healthcare,Mumbai,High,Unknown,135400,
Unemployed,25-34,PhD,Retail,Urban,High,Unknown,47700,
Employed,Unknown,High School,Technology,Bangalore,Unknown,19,130300,
Employed,25-34,High School,Healthcare,Urban,High,29,144500,
Unemployed,18-24,High School,unknown,Mumbai,Medium,Unknown,106600,
Unknown,Unknown,Bachelor's,Finance,Delhi,High,30,75200,
Unemployed,35-44,Master’s,Technology,Suburban,High,Unknown,5100,2024-01-04
Unknown,35-44,PhD,Healthcare,Hyderabad,Low,7,145100,2024-02-04
Unknown,25-34,High School,Healthcare,Unknown,Medium,Unknown,57500,2024-03-04
Employed,25-34,Master’s,Fintech,Urban,High,Unknown,74500,2024-04-04
Unemployed,55+,Master’s,Fintech,Suburban,High,Unknown,105900,2024-05-04
Unknown,Unknown,Diploma,Technology,Mumbai,High,17,28200,2024-06-04
Unemployed,45-54,PhD,Technology,Delhi,Medium,Unknown,84500,2024-07-04
Unemployed,55+,High School,Healthcare,Bangalore,High,Unknown,147100,2024-08-04
Unknown,25-34,Bachelor's,Technology,Suburban,High,17,10500,2024-09-04
Employed,45-54,Unknown,Finance,Urban,Low,16,86900,2024-10-04
Unemployed,25-34,Bachelor's,Fintech,Hyderabad,Low,Unknown,105200,2024-11-04
Employed,35-44,Unknown,Technology,Urban,Unknown,Unknown,33200,2024-12-04
Employed,55+,PhD,Healthcare,Urban,Medium,Unknown,134500,
Unknown,35-44,Unknown,Education,Rural,High,Unknown,147200,
Unemployed,35-44,PhD,Retail,Unknown,Low,Unknown,81500,
Employed,55+,Bachelor's,Technology,Mumbai,Medium,5,16200,
Employed,35-44,High School,Technology,Bangalore,Medium,20,136000,
Employed,Unknown,High School,Fintech,Delhi,Unknown,Unknown,33200,
Unemployed,18-24,Unknown,Retail,Bangalore,High,Unknown,29800,
Unemployed,25-34,Diploma,Retail,Bangalore,Unknown,5,33200,
Employed,55+,PhD,unknown,Hyderabad,Medium,22,115100,
Employed,45-54,Unknown,Healthcare,Suburban,Medium,0,75100,
Employed,25-34,Bachelor's,Healthcare,Urban,High,17,98200,
Unemployed,55+,PhD,unknown,Suburban,High,18,86000,
Employed,45-54,Bachelor's,Education,Unknown,High,6,29900,
Employed,25-34,Bachelor's,Healthcare,Unknown,Low,1,114500,
Unemployed,45-54,PhD,Technology,Urban,Medium,25,33200,
Unemployed,35-44,Bachelor's,Technology,Unknown,Medium,Unknown,67500,
Unemployed,Unknown,Diploma,Finance,Unknown,Unknown,Unknown,149000,
Employed,18-24,PhD,Healthcare,Urban,High,26,6800,
Employed,25-34,Bachelor's,Fintech,Bangalore,High,26,64900,2024-01-05
Unemployed,18-24,Bachelor's,Retail,Urban,High,7,146300,2024-02-05
Unemployed,35-44,Bachelor's,Healthcare,Suburban,Medium,Unknown,55600,2024-03-05
Employed,18-24,Diploma,Finance,Urban,Low,Unknown,33200,2024-04-05
Employed,Unknown,Diploma,Retail,Unknown,High,Unknown,33200,2024-05-05
Employed,18-24,Bachelor's,Finance,Mumbai,Low,29,51100,2024-06-05
Unemployed,35-44,Master’s,Retail,Urban,High,16,11000,2024-07-05
Employed,55+,PhD,Technology,Urban,Medium,19,62800,2024-08-05
Unemployed,18-24,Bachelor's,Healthcare,Delhi,Medium,Unknown,33200,2024-09-05
Employed,18-24,Bachelor's,Technology,Urban,High,26,46000,2024-10-05
Employed,18-24,Master’s,Education,Urban,Medium,24,33200,2024-11-05
Employed,55+,Master’s,Technology,Mumbai,Medium,0,105500,2024-12-05
Unknown,Unknown,Bachelor's,Finance,Suburban,High,Unknown,62600,
Employed,25-34,High School,Retail,Urban,High,Unknown,60200,
Unemployed,55+,Bachelor's,unknown,Suburban,Low,5,87200,
Employed,35-44,PhD,Retail,Mumbai,Unknown,Unknown,118000,
Unemployed,Unknown,PhD,Healthcare,Urban,High,Unknown,33200,
Employed,55+,Diploma,Education,Urban,Low,5,17400,
Employed,25-34,PhD,Fintech,Urban,Unknown,27,33200,
Unknown,25-34,PhD,Healthcare,Hyderabad,Medium,10,33200,
Employed,25-34,PhD,Healthcare,Mumbai,Unknown,11,137600,
Unknown,18-24,PhD,Healthcare,Rural,Low,14,33200,
Employed,18-24,Unknown,Healthcare,Rural,High,Unknown,68800,
Employed,Unknown,Bachelor's,Retail,Urban,High,Unknown,107000,
Employed,45-54,High School,unknown,Urban,Low,7,63500,
Unemployed,18-24,High School,unknown,Bangalore,Low,0,47400,
Unknown,Unknown,Bachelor's,Fintech,Urban,Medium,3,99800,
Employed,35-44,Master’s,Technology,Suburban,Medium,23,34900,
Employed,35-44,PhD,Fintech,Bangalore,Medium,Unknown,82800,
Employed,18-24,PhD,Technology,Mumbai,Unknown,27,107800,
Unemployed,18-24,Bachelor's,Education,Urban,Low,Unknown,54500,
Employed,18-24,PhD,Retail,Urban,Medium,Unknown,47100,2024-01-06
Employed,Unknown,Diploma,Retail,Urban,Low,1,15000,2024-02-06
Employed,18-24,Diploma,Retail,Delhi,Low,Unknown,94500,2024-03-06
Unemployed,18-24,PhD,Technology,Unknown,High,Unknown,27200,2024-04-06
Unemployed,18-24,Master’s,Retail,Suburban,Low,18,100400,2024-05-06
Unemployed,Unknown,PhD,Technology,Suburban,High,5,34100,2024-06-06
Unemployed,55+,Unknown,unknown,Mumbai,Medium,Unknown,33200,2024-07-06
Unemployed,45-54,High School,Education,Unknown,Medium,Unknown,8000,2024-08-06
Unknown,45-54,Unknown,Technology,Suburban,Low,Unknown,33200,2024-09-06
Unemployed,35-44,PhD,Technology,Hyderabad,Low,Unknown,130500,2024-10-06
Unemployed,35-44,Master’s,Fintech,Urban,Low,Unknown,122900,2024-11-06
Unemployed,55+,Bachelor's,Healthcare,Mumbai,High,4,93400,2024-12-06
Employed,35-44,Unknown,Retail,Urban,Medium,21,77700,
Unemployed,45-54,Master’s,Technology,Hyderabad,Low,Unknown,52400,
Unknown,Unknown,Bachelor's,Fintech,Rural,Low,27,33200,
Unemployed,Unknown,High School,Technology,Hyderabad,Medium,13,37300,
Unemployed,55+,Master’s,Education,Urban,High,19,96700,
Employed,55+,Bachelor's,unknown,Urban,High,Unknown,8200,
Unknown,18-24,PhD,Healthcare,Urban,Low,Unknown,33200,
Unemployed,55+,Unknown,Fintech,Urban,High,11,72100,
Employed,55+,Unknown,Technology,Unknown,Medium,Unknown,9800,
Unemployed,25-34,Diploma,Education,Bangalore,High,Unknown,24600,
Unemployed,55+,Diploma,Education,Bangalore,High,Unknown,133700,
Employed,Unknown,High School,Retail,Bangalore,Medium,Unknown,21400,
Employed,18-24,PhD,Retail,Delhi,Medium,0,138700,
Unknown,45-54,Unknown,Fintech,Mumbai,Unknown,Unknown,125500,
Employed,18-24,High School,Education,Rural,Medium,Unknown,87400,
Unemployed,18-24,Master’s,Healthcare,Hyderabad,Low,13,133300,
Employed,45-54,Bachelor's,Fintech,Mumbai,High,28,24100,
Employed,25-34,Unknown,Finance,Suburban,Medium,25,64600,
Unknown,25-34,Bachelor's,Technology,Urban,Low,23,108700,2024-01-07
Employed,Unknown,Master’s,Fintech,Unknown,Medium,Unknown,38500,2024-02-07
Unknown,55+,Bachelor's,Technology,Delhi,Medium,28,40400,2024-03-07
Unemployed,Unknown,Bachelor's,Healthcare,Bangalore,Low,20,17200,2024-04-07
Unemployed,18-24,High School,Finance,Bangalore,Medium,Unknown,132900,2024-05-07
Unemployed,35-44,Diploma,Education,Rural,Unknown,13,102800,2024-06-07
Employed,55+,Bachelor's,Finance,Hyderabad,Unknown,25,95600,2024-07-07
Unemployed,25-34,Unknown,Finance,Rural,Medium,Unknown,69500,2024-08-07
Unknown,45-54,Bachelor's,Healthcare,Urban,Medium,10,86000,2024-09-07
Employed,18-24,Master’s,Healthcare,Urban,Unknown,3,140800,2024-10-07
Unemployed,55+,High School,Technology,Hyderabad,High,Unknown,84700,2024-11-07
Unemployed,25-34,PhD,Finance,Unknown,High,Unknown,56600,2024-12-07
Unknown,35-44,Unknown,Retail,Delhi,High,22,66700,
Unemployed,55+,Master’s,Finance,Bangalore,Medium,Unknown,96400,
Employed,18-24,Unknown,Retail,Rural,High,0,101400,
Employed,18-24,Unknown,Fintech,Bangalore,Unknown,21,37300,
Unemployed,35-44,PhD,Retail,Bangalore,High,Unknown,124400,
Unemployed,18-24,Bachelor's,Technology,Bangalore,High,Unknown,128000,
Unemployed,45-54,Diploma,Retail,Rural,Low,16,33200,
Employed,18-24,Master’s,Healthcare,Hyderabad,Medium,Unknown,34700,
Unemployed,45-54,High School,Technology,Urban,Medium,Unknown,34700,
Unemployed,45-54,Bachelor's,Technology,Delhi,Low,7,33200,
Unemployed,45-54,High School,Healthcare,Hyderabad,Low,3,33200,
Unemployed,18-24,Bachelor's,Healthcare,Urban,Low,Unknown,117800,
Employed,25-34,PhD,Retail,Urban,Medium,Unknown,69500,
Unknown,18-24,PhD,Retail,Mumbai,Medium,18,148400,
Unemployed,25-34,PhD,Retail,Urban,Low,Unknown,33200,
Employed,25-34,High School,Retail,Rural,Unknown,Unknown,61600,
Unemployed,Unknown,PhD,Education,Unknown,Low,Unknown,83100,
Employed,55+,Master’s,Education,Mumbai,Low,Unknown,33200,
Unemployed,25-34,Bachelor's,Fintech,Rural,Medium,23,140600,
Employed,18-24,Bachelor's,Education,Hyderabad,Low,28,33200,2024-01-08
Unemployed,25-34,Master’s,unknown,Urban,Low,13,57100,2024-02-08
Employed,55+,Master’s,Retail,Suburban,High,4,97800,2024-03-08
Employed,18-24,PhD,Retail,Hyderabad,Medium,0,86600,2024-04-08
Employed,45-54,Bachelor's,Healthcare,Hyderabad,Low,Unknown,33200,2024-05-08
Unemployed,25-34,PhD,Healthcare,Urban,Unknown,Unknown,33200,2024-06-08
Employed,Unknown,Master’s,Healthcare,Urban,Low,27,103400,2024-07-08
Unemployed,55+,Unknown,Retail,Hyderabad,High,10,88800,2024-08-08
Unknown,45-54,Unknown,Education,Urban,Low,29,133800,2024-09-08
Employed,25-34,Unknown,Healthcare,Urban,Unknown,Unknown,36200,2024-10-08
Unemployed,Unknown,High School,Fintech,Mumbai,Low,Unknown,33200,2024-11-08
Employed,Unknown,Master’s,Finance,Urban,Medium,Unknown,103800,2024-12-08
Unemployed,18-24,High School,Healthcare,Rural,Low,1,109300,
Unemployed,25-34,Master’s,Technology,Hyderabad,High,28,73000,
Unemployed,18-24,Master’s,Healthcare,Suburban,High,Unknown,102400,
Unemployed,45-54,Master’s,Healthcare,Delhi,Low,Unknown,140300,
Employed,35-44,High School,Healthcare,Urban,High,Unknown,32800,
Employed,45-54,Unknown,Healthcare,Delhi,Medium,Unknown,132400,
Employed,55+,PhD,Retail,Hyderabad,Unknown,Unknown,15200,
Unemployed,45-54,Bachelor's,unknown,Urban,High,Unknown,60600,
Unemployed,45-54,Diploma,Retail,Urban,High,19,70900,
Employed,25-34,Master’s,Healthcare,Hyderabad,Low,11,132100,
Employed,45-54,High School,Finance,Bangalore,Medium,Unknown,146900,
Unemployed,35-44,Master’s,Healthcare,Delhi,Low,18,74600,
Employed,Unknown,Diploma,Fintech,Delhi,High,Unknown,145600,
Employed,Unknown,Diploma,Technology,Delhi,Unknown,Unknown,33200,
Unemployed,35-44,PhD,Technology,Hyderabad,Low,29,30700,
Employed,45-54,PhD,Technology,Suburban,High,15,33200,
Employed,55+,PhD,Technology,Suburban,High,Unknown,11200,
Unemployed,Unknown,Master’s,Retail,Bangalore,Medium,Unknown,18100,
Employed,Unknown,High School,Education,Urban,High,Unknown,43100,
Unemployed,45-54,PhD,Technology,Urban,Medium,Unknown,62600,2024-01-09
Unemployed,25-34,Master’s,unknown,Rural,Unknown,19,137500,2024-02-09
Employed,18-24,Bachelor's,Healthcare,Suburban,Medium,7,87900,2024-03-09
Employed,Unknown,Bachelor's,unknown,Rural,Unknown,28,33200,2024-04-09
Employed,25-34,High School,Fintech,Rural,Medium,Unknown,33200,2024-05-09
Employed,25-34,PhD,Retail,Suburban,Low,Unknown,118800,2024-06-09
Unemployed,25-34,High School,Education,Bangalore,High,21,144100,2024-07-09
Employed,18-24,Bachelor's,Healthcare,Mumbai,Low,9,33200,2024-08-09
Unemployed,Unknown,Unknown,Technology,Suburban,Medium,22,49500,2024-09-09
Unemployed,25-34,Diploma,Healthcare,Unknown,Low,29,117500,2024-10-09
Unemployed,18-24,High School,Technology,Delhi,High,Unknown,109800,2024-11-09
Employed,18-24,Unknown,Finance,Urban,High,Unknown,65500,2024-12-09
Unknown,45-54,PhD,Technology,Urban,Low,14,30000,
Employed,18-24,Master’s,Education,Rural,Medium,Unknown,62100,
Employed,25-34,Master’s,unknown,Urban,Low,14,104400,
Unemployed,Unknown,PhD,Education,Delhi,Low,Unknown,116100,
Employed,Unknown,High School,Technology,Hyderabad,High,Unknown,58700,
Unemployed,18-24,Master’s,Technology,Unknown,Medium,Unknown,19000,
Employed,18-24,Diploma,Retail,Urban,Low,14,143200,
Unknown,25-34,Unknown,Retail,Bangalore,Low,Unknown,10100,
Unknown,35-44,Bachelor's,Healthcare,Hyderabad,Medium,22,147100,
Employed,45-54,Unknown,Healthcare,Delhi,High,Unknown,33200,
Employed,25-34,Bachelor's,Technology,Hyderabad,High,Unknown,87800,
Employed,55+,High School,Technology,Rural,Low,Unknown,75000,
Unemployed,25-34,Bachelor's,Fintech,Bangalore,Medium,14,51800,
Employed,Unknown,Bachelor's,Education,Unknown,Medium,Unknown,33200,
Employed,18-24,High School,Technology,Hyderabad,High,Unknown,96300,
Unemployed,35-44,PhD,Retail,Delhi,High,Unknown,64500,
Unemployed,55+,High School,Technology,Delhi,High,9,33200,
Unknown,18-24,Master’s,Retail,Urban,Medium,17,33200,
Employed,18-24,Unknown,Healthcare,Suburban,High,15,30100,2024-01-10
Unemployed,45-54,PhD,Technology,Suburban,Low,Unknown,101500,2024-02-10
Unemployed,25-34,High School,unknown,Hyderabad,Medium,18,86300,2024-03-10
Employed,55+,High School,Finance,Unknown,High,Unknown,33200,2024-04-10
Unemployed,Unknown,Master’s,Finance,Hyderabad,High,Unknown,90400,2024-05-10
Unemployed,35-44,Bachelor's,Technology,Mumbai,Low,16,118500,2024-06-10
Employed,18-24,Unknown,Education,Delhi,Unknown,2,23900,2024-07-10
Unemployed,25-34,Diploma,unknown,Mumbai,Low,10,33200,2024-08-10
Employed,18-24,Bachelor's,Healthcare,Bangalore,Medium,23,113800,2024-09-10
Unemployed,55+,Master’s,Technology,Delhi,Low,8,132700,2024-10-10
Employed,25-34,Master’s,Technology,Bangalore,High,2,26800,2024-11-10
Unemployed,18-24,Master’s,unknown,Rural,Medium,10,52200,2024-12-10
Employed,35-44,High School,Healthcare,Mumbai,Unknown,Unknown,55000,2024-13-10
Unemployed,18-24,Master’s,Technology,Delhi,Unknown,30,99500,2024-14-10
Employed,45-54,Master’s,Technology,Unknown,High,Unknown,104400,2024-15-10
Unknown,18-24,PhD,Healthcare,Urban,High,7,99600,2024-16-10
Employed,25-34,Bachelor's,Healthcare,Urban,Medium,26,112300,2024-17-10
Employed,18-24,Diploma,Retail,Rural,Medium,Unknown,33200,2024-18-10
Unknown,55+,Diploma,Fintech,Unknown,High,9,9500,2024-19-10
Employed,18-24,Master’s,Retail,Rural,Unknown,Unknown,16400,2024-20-10
Employed,35-44,Unknown,unknown,Hyderabad,Medium,0,147800,2024-21-10
Unemployed,55+,Bachelor's,Healthcare,Hyderabad,Unknown,2,33200,2024-22-10
Unemployed,25-34,PhD,Finance,Urban,High,26,43900,2024-23-10
Unemployed,25-34,Diploma,Technology,Rural,Medium,Unknown,33200,2024-24-10
Unemployed,18-24,High School,Fintech,Bangalore,High,Unknown,123100,2024-25-10
Employed,35-44,Unknown,Retail,Mumbai,Low,Unknown,59500,2024-26-10
Employed,18-24,Diploma,Retail,Hyderabad,High,Unknown,33200,2024-27-10
Unemployed,25-34,Bachelor's,Technology,Unknown,High,Unknown,115400,2024-28-10
Unemployed,45-54,Diploma,unknown,Urban,Medium,Unknown,13100,2024-29-10
Employed,35-44,PhD,Fintech,Unknown,Low,5,33200,2024-30-10
Employed,55+,PhD,Healthcare,Unknown,Unknown,16,33200,2024-31-10
Employed,Unknown,Bachelor's,Retail,Urban,High,28,33200,2024-01-11
Employed,25-34,Unknown,Technology,Bangalore,High,Unknown,130800,2024-02-11
Employed,55+,PhD,Technology,Suburban,Unknown,Unknown,133400,2024-03-11
Unknown,25-34,PhD,Finance,Rural,Unknown,24,100300,2024-04-11
Employed,55+,Unknown,Healthcare,Delhi,Low,Unknown,68800,2024-05-11
Employed,55+,PhD,unknown,Urban,High,5,22700,2024-06-11
Employed,18-24,PhD,Technology,Unknown,Unknown,2,58400,2024-07-11
Employed,25-34,PhD,Education,Mumbai,Low,21,40200,2024-08-11
Employed,18-24,High School,Finance,Bangalore,High,Unknown,33200,2024-09-11
Employed,25-34,Bachelor's,Retail,Bangalore,Low,22,33200,2024-10-11
Unknown,55+,PhD,Retail,Bangalore,Low,Unknown,99100,2024-11-11
Employed,25-34,PhD,Education,Unknown,Medium,Unknown,37200,2024-12-11
Employed,35-44,Master’s,Healthcare,Hyderabad,High,Unknown,142900,2024-13-11
Unemployed,55+,High School,Technology,Unknown,High,Unknown,20300,2024-14-11
Unknown,Unknown,High School,Education,Unknown,Unknown,23,56600,2024-15-11
Unknown,45-54,PhD,unknown,Urban,Unknown,Unknown,117800,2024-16-11
Employed,25-34,Bachelor's,Retail,Hyderabad,High,Unknown,64800,2024-17-11
Unknown,55+,Bachelor's,Healthcare,Unknown,Medium,0,28000,2024-18-11
Unemployed,45-54,Master’s,Education,Urban,Medium,Unknown,33200,2024-19-11
Employed,55+,Unknown,Education,Suburban,High,Unknown,94900,2024-20-11
Unemployed,45-54,High School,Healthcare,Hyderabad,High,Unknown,16400,2024-21-11
Unemployed,45-54,Master’s,Technology,Urban,High,Unknown,67300,2024-22-11
Employed,35-44,Diploma,Technology,Suburban,Low,Unknown,6300,2024-23-11
Unknown,25-34,Master’s,Healthcare,Hyderabad,High,Unknown,33200,2024-24-11
Employed,35-44,PhD,Technology,Suburban,High,7,63200,2024-25-11
Unemployed,55+,Master’s,Technology,Unknown,Medium,29,53800,2024-26-11
Unemployed,25-34,High School,Technology,Delhi,Medium,Unknown,106700,2024-27-11
Unemployed,55+,High School,Retail,Bangalore,High,Unknown,33200,2024-28-11
Unknown,25-34,Bachelor's,Finance,Mumbai,Low,Unknown,15500,2024-29-11
Employed,Unknown,Master’s,Healthcare,Urban,Medium,11,107100,2024-30-11
Employed,18-24,PhD,Healthcare,Delhi,Low,18,53800,2024-01-12
Unemployed,35-44,Master’s,Technology,Urban,High,21,35200,2024-02-12
Employed,35-44,Diploma,Healthcare,Urban,Low,Unknown,33200,2024-03-12
Unknown,25-34,Bachelor's,Technology,Hyderabad,Unknown,Unknown,46900,2024-04-12
Unemployed,45-54,High School,Technology,Rural,Low,23,149200,2024-05-12
Employed,18-24,PhD,Retail,Urban,Low,Unknown,37700,2024-06-12
Employed,45-54,Master’s,unknown,Rural,High,Unknown,121300,2024-07-12
Employed,25-34,Bachelor's,unknown,Urban,High,6,33200,2024-08-12
Employed,18-24,PhD,Retail,Unknown,Medium,Unknown,95900,2024-09-12
Employed,25-34,PhD,Healthcare,Rural,High,Unknown,100300,2024-10-12
Employed,18-24,Unknown,Healthcare,Mumbai,Unknown,Unknown,50400,2024-11-12
Employed,35-44,Diploma,Technology,Bangalore,Medium,Unknown,49900,2024-12-12
Unknown,18-24,Unknown,Technology,Urban,Unknown,Unknown,77300,2024-13-12
Employed,25-34,High School,Retail,Urban,Low,Unknown,8300,2024-14-12
Employed,45-54,High School,Retail,Delhi,Medium,28,112100,2024-15-12
Unemployed,25-34,Master’s,Healthcare,Mumbai,High,Unknown,86900,2024-16-12
Unemployed,45-54,High School,Healthcare,Unknown,Medium,26,103800,2024-17-12
Employed,35-44,PhD,Healthcare,Suburban,Medium,26,33200,2024-18-12
Unemployed,55+,Master’s,Healthcare,Unknown,Medium,9,33200,2024-19-12
Unemployed,25-34,Bachelor's,Healthcare,Urban,Unknown,15,38400,2024-20-12
Unknown,18-24,High School,Education,Unknown,Low,10,82300,2024-21-12
Unemployed,25-34,High School,unknown,Urban,High,Unknown,33200,2024-22-12
Employed,45-54,Master’s,unknown,Rural,Low,5,117600,2024-23-12
Unemployed,Unknown,Master’s,unknown,Suburban,High,Unknown,33200,2024-24-12
Unemployed,35-44,Bachelor's,Technology,Bangalore,Low,Unknown,116700,2024-25-12
Employed,25-34,High School,unknown,Mumbai,Medium,Unknown,33200,2024-26-12
Unemployed,Unknown,PhD,Healthcare,Urban,Medium,Unknown,94700,2024-27-12
Employed,Unknown,Diploma,Finance,Unknown,Medium,13,96200,2024-28-12
Unemployed,18-24,Bachelor's,unknown,Urban,Low,16,38800,2024-29-12
Employed,25-34,High School,Finance,Mumbai,High,Unknown,33200,2024-30-12
Employed,Unknown,Master’s,Healthcare,Hyderabad,High,30,18100,2024-31-12
Unemployed,25-34,PhD,unknown,Mumbai,High,8,128300,2025-01-01
Unemployed,45-54,PhD,unknown,Mumbai,Medium,27,43200,2025-02-01
Unemployed,55+,Bachelor's,unknown,Mumbai,Medium,1,43700,2025-03-01
Unemployed,Unknown,High School,Healthcare,Unknown,Low,17,115300,2025-04-01
Unemployed,25-34,Diploma,Retail,Bangalore,Low,1,55600,2025-05-01
Unemployed,18-24,PhD,Technology,Urban,Medium,Unknown,105200,2025-06-01
Employed,55+,High School,Technology,Bangalore,High,Unknown,33200,2025-07-01
Unemployed,55+,High School,Education,Unknown,Unknown,19,145700,2025-08-01
Employed,45-54,Bachelor's,Healthcare,Suburban,Low,Unknown,24000,2025-09-01
Unemployed,55+,Master’s,unknown,Bangalore,Medium,17,33200,2025-10-01
Employed,18-24,Bachelor's,Retail,Rural,Unknown,24,145300,2025-11-01
Employed,55+,High School,Healthcare,Suburban,Medium,Unknown,30300,2025-12-01
Employed,18-24,Master’s,Healthcare,Delhi,High,2,32900,
Employed,35-44,High School,Finance,Hyderabad,High,6,52900,
